author_id,created_at,public_metrics,text,id
832413526857625600,2021-11-30T19:25:41.000Z,"{'retweet_count': 2861, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @camillard: Has anyone asked Covid if she’s okay?Lashing out, constantly changing herself for others. Classic cry for help shit.",1465763987144921089
824677546377826305,2021-11-30T19:25:41.000Z,"{'retweet_count': 415, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @dgurdasani1: Shameful. &gt;15,000 deaths since July, and doubling of long COVID in children since June. Exhausted and overworked NHS staff…",1465763987128303628
1244877794,2021-11-30T19:25:41.000Z,"{'retweet_count': 361, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @EssexPR: I swear there are people on here that would literally accept weekly injections for Covid and still say ‘it’s science’..
The wo…",1465763986004234249
2926136996,2021-11-30T19:25:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",COVID BEDWETTING HAS NEVER BEEN MORE PROFITABLE https://t.co/JMmUC7AI9y,1465763985798713346
1186217999201636352,2021-11-30T19:25:41.000Z,"{'retweet_count': 79, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @krtl1881: #YaOnlineYaCanımız
Covid rüzgardan daha tehlikeli değil mi? https://t.co/kjFDDCBDeN",1465763985664495623
965450311300239365,2021-11-30T19:25:41.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @cactusinsurance: @somebadideas https://t.co/wnJhY7HKB2

South Africa has a vaccine surplus. The problem is anti-vaxxers, not ""greedy we…",1465763985601482763
812736694512472065,2021-11-30T19:25:41.000Z,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @travisakers: As the deadline approaches for active-duty sailors and Marines to be fully vaccinated against COVID-19, the U.S. Navy is c…",1465763985546833921
1463494484117753856,2021-11-30T19:25:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@losinvictus 🤭I've been watching EVERYTHING ELSE😄😄😄 there's been so much TV since COVID 😔 #Il get it done eventually 😄,1465763985505099779
385113402,2021-11-30T19:25:41.000Z,"{'retweet_count': 448, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @joncoopertweets: DISGUSTING: Fox Nation anchor Lara Logan compared Dr. Fauci to Josef Mengele, the notorious Nazi doctor known as the “…",1465763985467142147
373039958,2021-11-30T19:25:41.000Z,"{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @MelechThomas: …what’s the real difference between Biden calling Omicron “the South African Variant” and Trump calling COVID “the China…,1465763985047928845
1372978479365505027,2021-11-30T19:25:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","L’Allemagne veut renforcer ses mesures anti-covid, jusqu’à l’obligation vaccinale

https://t.co/XX3PDRdJHa",1465763985018564615
